especie,conta
Gralha do campo (Cyanocorax cristatellus),10
Tico-tico (Zonotrichia capensis),10
Soldadinho (Antilophia galeata),9
Carcará (Caracara plancus) ,7
Papagaio verdadeiro (Amazona aestiva),7
Tiziu (Volatinia jacarina),6
Alma de gato (Piaya cayana),5
Garrinchão de barriga vermelha (Cantorchilus leucotis),5
João-bobo (Nystalus chacuru),5
Periquito-rei (Eupsittula aurea),5
Baianinho (Sporophila nigricollis),4
Bandoleta (Cypsnagra hirundinacea),4
Chorozinho-de-bico-comprido (Herpsilocus longirostris),4
Guaracava-de-topete-uniforme (Elaenia cristata),4
Inhambu-chororó (Crypturellus parvirostris),4
Pica-pau-do-campo (Colaptes campestris),4
Pomba-asa-branca ( Patagioenas picazuro),4
Pula-pula amarelo (Basileuterus flaveolus),4
Saíra amarela (Tangara cayana),4
Canário-do-campo (Emberizoides herbicola),3
Canário-rasteiro (Sicalis citrina),3
João-de-barro (Furnarius rufus),3
Maria-é-dia (Elaenia flavogaster),3
Petrim (Synallaxis frontalis),3
Pica-pau-de-banda-branca (Dryocopus lineatus),3
Sabiá do campo (Mimus saturninus),3
Sabiá laranjeira (Turdus rufiventris),3
Saí azul (Dacnis cayana),3
Suiriri-cinzento (Suiriri suiriri),3
Andorinha serradora (Stelgidopteryx ruficollis),2
Ariramba-de-cauda-ruiva (Galbula ruficauda),2
Beija flor de orelha violeta (Colibri serrirostris),2
Beija-flor-tesoura-verde (Thalurania furcata),2
Cambacica (Coereba flaveola),2
Canário-da-terra (Sicalis flaveola),2
Chibum (Elaenia chiriquensis),2
Chorozinho-de-chapéu-preto (Herpsilochmus atricapillus),2
Coleirinho (Sporophila caerulescens),2
Corruíra (Troglodytes musculus),2
Corruíra-do-campo (Cistothorus platensis),2
Fogo-apagou (Scardafella squamata),2
Gavião-carijó (Rupornis magnirostris),2
Tie do Cerrado Neothraupis fasciata,2
Papagaio galego (Alipiopsitta xanthops),2
Perdiz (Rhynchotus rufescens),2
Pitiguari (Cyclarhis gujanensis ),2
Risadinha (Camptostoma obsoletum),2
Saíra-de-papo-preto (Hemithraupis guira),2
Tapaculo-de-colarinho (Melanopareia torquata),2
Tico-tico-do-campo (Ammodramus humeralis),2
Tucano toco (Ramphastos toco),2
Urubu comum (Coragyps atratus),2
Ananaí (Amazonetta brasiliensis),1
Andorinha do rio (Tachycineta albiventer),1
Andorinhão do buriti (Tachornis squamata),1
Arara-canindé (Ara ararauna),1
Arapaçu-assobiador (Xiphorhynchus pardalotus),1
Balança rabo mascarado (Polioptila dumicola),1
Basileuterus hypoleucos,1
Beija-flor-de-garganta-verde (Amazilia fimbriata),1
Beija-flor-tesoura (Eupetomena macroura),1
Bem-te-vi (Pitangus sulphuratus),1
Bem-te-vi-pirata (Legatus leucophaius),1
Bico-de-lacre,1
Bico-chato-amarelo (Tolmomyias flaviventris),1
Bico-de-veludo (Schistochlamys ruficapillus),1
Biguá (Phalacrocorax brasilianus),1
Canário-do-mato (Myiothlypis flaveola),1
Chorão (Sporophila leucoptera )       ,1
Choró boi (Taraba major),1
Coleiro do Brejo (Sporophila collaris),1
Coró coró Mesembrinibis cayenensis,1
Curicaca (Theristicus caudatus),1
Curutié (Certhia1is cinnamomeus),1
Euphonia sp,1
Falcão-de-coleira (Falco femoralis),1
Felipe (Myiphobus fasciatus),1
Figuinha de rabo castanho (Conirostrum speciosum),1
Fim-fim (Euphonia chlorotica),1
Freirinha (Arundinicola leucocephala),1
Garça branca pequena (Egretta thula),1
Gavião-de-cauda-curta (Buteo brachyurus),1
Gavão Carrapateiro (Milvago chimachima),1
Gaviao-pega-macaco Spizaetus tyrannus,1
Irerê (Dendrocygna viduata),1
Jacupemba (Penelope superciliaris),1
Jandaia-de-testa-vermelha (Aratinga auricapillus),1
Juriti pupu (Leptotila sp),1
Juruviara (Vireo chivi),1
Maitaca-verde (Pionus maximiliani),1
Martim-pescador,1
Martim-pescador-grande (Megaceryle torquata),1
Maria cavaleira (Myarchus ferox),1
Mutum (Crax fasciolata),1
Neinei (Megarynchus pitangua),1
Periquitão-maracanã (Psittacara leucophthalma),1
Periquito-de-encontro-amarelo (Brotogeris chiriri),1
Pica-pau anão escamado (Picumnus albosquamatus),1
Pica-pau-carijó (Colaptes melanochloros),1
Rolinha-roxa (Columbina talpacoti),1
Sabiá-do-barranco (Turdus leucomelas),1
Sanhaçu-cinzento (Tangara sayaca),1
Suiriri (Tyrannus melancholicus),1
Tapicuru-de-cara-pelada (Phimosus infuscatus),1
Tico-tico-rei (Coryphospingus cucullatus),1
Trinca-ferro (Saltator similis),1
Ui-pi Synallaxis albescens,1
Viuvinha (Colonia colonus),1
