Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S120034387,jaó,Crypturellus undulatus,105,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108928995,inhambu-chororó,Crypturellus parvirostris,147,X,BR-DF,Brasília,L6083614,Brasília--Universidade de Brasília,-15.763369,-47.857734,2018-01-26,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Débora Tonelli; Ambiente: urbano; local: CO
S109129536,inhambu-chororó,Crypturellus parvirostris,147,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-01-30,,Historical,,1,,,,,,Lista de Mackinnon: Autor: José Marcos; Ambiente: natural; Local: FAL-capetinga.
S109130256,inhambu-chororó,Crypturellus parvirostris,147,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-01-30,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Roberto; Ambiente: natural; Local: FAL.
S109130752,inhambu-chororó,Crypturellus parvirostris,147,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: natural; Local: FAL.
S109131470,inhambu-chororó,Crypturellus parvirostris,147,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Fernanda Martins; Ambiente: natural; Local: FAL.
S81624086,inhambu-chororó,Crypturellus parvirostris,147,1,BR-DF,Brasília,L13639443,Trilha Mata de Galeria,-15.73828,-47.9275437,2021-02-12,07:40 AM,eBird - Traveling Count,105,1,1.6,,4,,Audição do canto (sem visualização).,"Manhã nublada, equipe LaBio retirando câmeras-trap no PNB para arquivamento de dados (pesquisa APA-Planalto Central)."
S109130752,perdiz,Rhynchotus rufescens,155,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: natural; Local: FAL.
S109131470,perdiz,Rhynchotus rufescens,155,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Fernanda Martins; Ambiente: natural; Local: FAL.
S109128601,irerê,Dendrocygna viduata,231,X,BR-DF,Brasília,L18878609,Estação Ecológica de Águas Emendadas,-15.5492048,-47.5970374,2016-05-29,,Historical,,0,,,,,,Lista de Mackinnon: Autor: Ilza Fujiyama; Ambiente: natural; Local: ESECAE.
S108868689,marreca-ananaí,Amazonetta brasiliensis,447,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-05-11,,Historical,,1,,,,,,Isadora Machado  Mackinnon
S108868251,jacupemba,Penelope superciliaris,873,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-08-27,,Historical,,1,,,,,,Roberto C  Mackinnon
S108868251,mutum-de-penacho,Crax fasciolata,941,X,BR-DF,Brasília,L865779,PN de Brasília,-15.6806921,-47.9783249,2018-08-27,,Historical,,1,,,,,,Roberto C  Mackinnon
S93644812,pombo-doméstico (feral),Columba livia (Feral Pigeon),1832,X,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-09,06:45 AM,Historical,60,1,1.1,,2
S93645005,pombo-doméstico (feral),Columba livia (Feral Pigeon),1832,2,BR-DF,Brasília,L2066371,Brasília--Parque da Cidade Sarah Kubitschek,-15.80259,-47.91251,2021-04-15,07:05 AM,Historical,70,1,1.2,,1
